Node Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
0, 1.67127049e+00, 2.93225739e+02, 2.06431165e-01, -1.95863932e-01, 6.04959540e-02, -2.43184138e-02, 1.69211793e+00, 1.50000000e+00, 1.75430536e-01
1, 1.67105877e+00, 2.93225677e+02, 2.00999692e-01, -1.90703198e-01, 5.84944151e-02, -2.47299019e-02, 1.68812728e+00, 1.50000000e+00, 1.79012343e-01
2, 1.67121804e+00, 2.93221100e+02, 1.88925758e-01, -1.79008275e-01, 5.56603149e-02, -2.34714188e-02, 1.68965268e+00, 1.50000000e+00, 1.69070527e-01
3, 1.67298782e+00, 2.93225616e+02, 2.07913026e-01, -1.97777167e-01, 5.90304807e-02, -2.50483025e-02, 1.71573043e+00, 1.50000000e+00, 1.73116565e-01
4, 1.67817736e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76985073e+00, 1.50000000e+00, 0.00000000e+00
5, 1.67213333e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.59577668e+00, 1.50000000e+00, 0.00000000e+00
6, 1.68308210e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.83975744e+00, 1.50000000e+00, 0.00000000e+00
7, 1.68338513e+00, 2.93201050e+02, 1.68238208e-01, -1.62692979e-01, 3.92100029e-02, -1.72529668e-02, 1.85608435e+00, 1.50000000e+00, 9.05363560e-02
8, 1.69836593e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.98457098e+00, 1.50000000e+00, 0.00000000e+00
9, 1.69359636e+00, 2.93185303e+02, 1.16397902e-01, -1.12561360e-01, 2.71279756e-02, -1.19367000e-02, 1.94869041e+00, 1.50000000e+00, 6.26388118e-02
10, 1.70603156e+00, 2.93234955e+02, 2.19147801e-01, -2.06791252e-01, 6.78076819e-02, -2.57925056e-02, 2.07421398e+00, 1.50000000e+00, 1.39675736e-01
11, 1.68881166e+00, 2.93225006e+02, 2.37890169e-01, -2.28534192e-01, 5.95866591e-02, -2.85181813e-02, 1.91077828e+00, 1.50000000e+00, 1.38896674e-01
12, 1.70366764e+00, 2.93185364e+02, 8.94204229e-02, -8.47962126e-02, 2.71801520e-02, -8.17638729e-03, 2.04325080e+00, 1.50000000e+00, 5.26258498e-02
13, 1.70135510e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.02527523e+00, 1.50000000e+00, 0.00000000e+00
14, 1.70014906e+00, 2.93165985e+02, 4.25176248e-02, -4.14959155e-02, 8.72196257e-03, -3.12484847e-03, 2.00680804e+00, 1.50000000e+00, 1.99423861e-02
15, 1.68399167e+00, 2.93225708e+02, 2.37593710e-01, -2.29061127e-01, 5.66699393e-02, -2.77540516e-02, 1.87316453e+00, 1.50000000e+00, 1.39987722e-01
16, 1.71069837e+00, 2.93235779e+02, 2.10499540e-01, -1.98624209e-01, 6.59781173e-02, -2.24803947e-02, 2.11677742e+00, 1.50000000e+00, 1.42414272e-01
17, 1.69863379e+00, 2.93212189e+02, 7.61226565e-02, 1.91523787e-02, -4.35855165e-02, -5.93982153e-02, 2.00266576e+00, 1.50000000e+00, 2.59780675e-01
18, 1.70012701e+00, 2.93213440e+02, 6.97786212e-02, 1.05794314e-02, -3.88190523e-02, -5.70106432e-02, 2.01647615e+00, 1.50000000e+00, 2.54829675e-01
19, 1.67127502e+00, 2.93224945e+02, 1.86997339e-01, -1.77325994e-01, 5.31718098e-02, -2.63866298e-02, 1.69314659e+00, 1.50000000e+00, 1.86975986e-01
20, 1.69899583e+00, 2.93211517e+02, 8.66327733e-02, 3.54882441e-02, -5.00773638e-02, -6.11398369e-02, 2.00749373e+00, 1.50000000e+00, 2.67825902e-01
21, 1.69822311e+00, 2.93211700e+02, 8.69012773e-02, 3.47234905e-02, -5.05629815e-02, -6.15588836e-02, 2.00116086e+00, 1.50000000e+00, 2.68298149e-01
22, 1.68433499e+00, 2.93220581e+02, 1.25109479e-01, -1.16837047e-01, 1.06615145e-02, -4.34490442e-02, 1.88234305e+00, 1.50000000e+00, 1.97661608e-01
23, 1.68145216e+00, 2.93215027e+02, 7.46428147e-02, 2.11330801e-02, -4.09109145e-02, -5.87472506e-02, 1.85246229e+00, 1.50000000e+00, 2.76661873e-01
24, 1.68395102e+00, 2.93215637e+02, 7.10528716e-02, 5.01012523e-03, -4.05041650e-02, -5.81620298e-02, 1.88601637e+00, 1.50000000e+00, 2.59629011e-01
25, 1.69602561e+00, 2.93212067e+02, 8.39525089e-02, 3.01885754e-02, -4.90028262e-02, -6.11178912e-02, 1.98286390e+00, 1.50000000e+00, 2.66620696e-01
26, 1.67626166e+00, 2.93215942e+02, 1.09428085e-01, 7.26099312e-02, -5.84789589e-02, -5.72932400e-02, 1.78671741e+00, 1.50000000e+00, 3.31671000e-01
27, 1.67071581e+00, 2.93225067e+02, 1.81902170e-01, -1.72658786e-01, 5.12634516e-02, -2.54834071e-02, 1.68173552e+00, 1.50000000e+00, 1.91092417e-01
28, 1.67107606e+00, 2.93218414e+02, 1.01286948e-01, 7.09000379e-02, -5.63205108e-02, -4.53897491e-02, 1.68215084e+00, 1.50000000e+00, 3.41852427e-01
29, 1.66758859e+00, 2.93220062e+02, 1.01379424e-01, 7.01826811e-02, -6.74077645e-02, -2.84318700e-02, 1.60871983e+00, 1.50000000e+00, 3.60199302e-01
30, 1.67091215e+00, 2.93223450e+02, 1.95248231e-01, -1.84998855e-01, 5.75230122e-02, -2.42569000e-02, 1.68463349e+00, 1.50000000e+00, 1.74728543e-01
31, 1.67067242e+00, 2.93225708e+02, 1.99606866e-01, -1.89123273e-01, 5.90244159e-02, -2.43189465e-02, 1.67570341e+00, 1.50000000e+00, 1.79215670e-01
32, 1.66565633e+00, 2.93228577e+02, 1.52943060e-01, -1.47066787e-01, 4.19811793e-02, 7.19630159e-04, 1.45467985e+00, 1.50000000e+00, 1.92126244e-01
33, 1.66903150e+00, 2.93173279e+02, 5.28243072e-02, -4.99412343e-02, 1.67905763e-02, -3.78907449e-03, 1.51099980e+00, 1.50000000e+00, 5.05787991e-02
34, 1.67517090e+00, 2.93193420e+02, 9.83889699e-02, -9.30190459e-02, 3.12736258e-02, -7.05741718e-03, 1.34678245e+00, 1.50000000e+00, 9.42065492e-02
35, 1.67862463e+00, 2.93149963e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.25768042e+00, 1.50000000e+00, 0.00000000e+00
36, 1.66970825e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49442506e+00, 1.50000000e+00, 0.00000000e+00
37, 1.67033100e+00, 2.93149994e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54233801e+00, 1.50000000e+00, 0.00000000e+00
38, 1.66731298e+00, 2.93222565e+02, 3.06155756e-02, -1.71261653e-02, -1.99818257e-02, -1.56439953e-02, 1.56283140e+00, 1.50000000e+00, 2.90322185e-01
39, 1.66628885e+00, 2.93222900e+02, 9.69234109e-02, 5.28652966e-02, -8.06217343e-02, 9.97714791e-03, 1.42464423e+00, 1.50000000e+00, 3.91207516e-01
40, 1.69785619e+00, 2.93211060e+02, 9.59783718e-02, 4.78728265e-02, -5.32617010e-02, -6.39001653e-02, 1.99841118e+00, 1.50000000e+00, 2.80304462e-01
41, 1.68535864e+00, 2.93212280e+02, 1.04668505e-01, 6.03932887e-02, -5.45362644e-02, -6.58326894e-02, 1.89849555e+00, 1.50000000e+00, 3.03369820e-01
42, 1.68999755e+00, 2.93206909e+02, 2.03305602e-01, 1.67802513e-01, -7.95857683e-02, -8.27139169e-02, 1.94081903e+00, 1.50000000e+00, 3.92765045e-01
43, 1.68392217e+00, 2.93210999e+02, 1.69231996e-01, 1.32228032e-01, -7.92193636e-02, -6.98534697e-02, 1.87775540e+00, 1.50000000e+00, 3.68877620e-01
44, 1.69635940e+00, 2.93204224e+02, 2.13317081e-01, 1.80576652e-01, -7.96654895e-02, -8.09299648e-02, 2.02365685e+00, 1.50000000e+00, 3.91259313e-01
45, 1.69145417e+00, 2.93203827e+02, 2.34272242e-01, 2.05073148e-01, -7.44047761e-02, -8.53956193e-02, 1.97979569e+00, 1.50000000e+00, 4.56386417e-01
46, 1.69908428e+00, 2.93210449e+02, 9.87055227e-02, 5.35964444e-02, -5.24611995e-02, -6.41718283e-02, 2.01463223e+00, 1.50000000e+00, 2.81851143e-01
47, 1.70141578e+00, 2.93202881e+02, 2.12198094e-01, 1.82932451e-01, -7.25082457e-02, -7.94122145e-02, 2.08360863e+00, 1.50000000e+00, 3.80492806e-01
48, 1.68242252e+00, 2.93207672e+02, 2.30866969e-01, 1.98097914e-01, -9.28754136e-02, -7.36948401e-02, 1.82483959e+00, 1.50000000e+00, 4.59401369e-01
49, 1.67838168e+00, 2.93209961e+02, 2.15009734e-01, 1.81825012e-01, -9.39922854e-02, -6.58353940e-02, 1.77919745e+00, 1.50000000e+00, 4.53056484e-01
50, 1.67614663e+00, 2.93211243e+02, 2.09874570e-01, 1.76765636e-01, -9.85382199e-02, -5.56009486e-02, 1.73452246e+00, 1.50000000e+00, 4.58524853e-01
51, 1.67020535e+00, 2.93216949e+02, 1.74989551e-01, 1.38023198e-01, -1.05733603e-01, -1.97824426e-02, 1.59201336e+00, 1.50000000e+00, 4.73904639e-01
52, 1.67843175e+00, 2.93207092e+02, 2.47674093e-01, 2.16610134e-01, -9.88232791e-02, -6.82383031e-02, 1.74895334e+00, 1.50000000e+00, 5.09852111e-01
53, 1.68852973e+00, 2.93205231e+02, 2.31210321e-01, 2.02128887e-01, -7.73103535e-02, -8.13955516e-02, 1.92461133e+00, 1.50000000e+00, 4.64660913e-01
54, 1.68018842e+00, 2.93206665e+02, 2.47406438e-01, 2.15707526e-01, -9.47615653e-02, -7.55013525e-02, 1.79413974e+00, 1.50000000e+00, 4.89457756e-01
55, 1.66642809e+00, 2.93222046e+02, 1.21707059e-01, 7.80884102e-02, -9.32413340e-02, 4.56766225e-03, 1.44626701e+00, 1.50000000e+00, 4.09249455e-01
56, 1.66675127e+00, 2.93222443e+02, 1.18811756e-01, 7.36864209e-02, -9.26917940e-02, 9.73527692e-03, 1.42349160e+00, 1.50000000e+00, 4.10354078e-01
